threshold,fpr,tpr
0.522,0.002504696305572949,0.018497109826589597
0.523,0.002504696305572949,0.018497109826589597
0.524,0.002504696305572949,0.018497109826589597
0.525,0.002504696305572949,0.018497109826589597
0.526,0.002504696305572949,0.018497109826589597
0.527,0.002504696305572949,0.018497109826589597
0.528,0.001878522229179712,0.018497109826589597
0.529,0.001878522229179712,0.018497109826589597
0.53,0.001878522229179712,0.018497109826589597
0.531,0.001878522229179712,0.018497109826589597
0.532,0.001878522229179712,0.017919075144508672
0.533,0.001878522229179712,0.017341040462427744
0.534,0.001878522229179712,0.017341040462427744
0.535,0.001878522229179712,0.017341040462427744
0.536,0.001878522229179712,0.016184971098265895
0.537,0.001878522229179712,0.01560693641618497
0.538,0.001878522229179712,0.01560693641618497
0.539,0.001878522229179712,0.01560693641618497
0.54,0.001878522229179712,0.01560693641618497
0.541,0.001878522229179712,0.01560693641618497
0.542,0.001878522229179712,0.01560693641618497
0.543,0.001878522229179712,0.01560693641618497
0.544,0.001878522229179712,0.01560693641618497
0.545,0.001878522229179712,0.01560693641618497
0.546,0.001878522229179712,0.01560693641618497
0.547,0.001878522229179712,0.01560693641618497
0.548,0.001878522229179712,0.01560693641618497
0.549,0.0012523481527864746,0.01560693641618497
0.55,0.0012523481527864746,0.01560693641618497
0.551,0.0012523481527864746,0.01560693641618497
0.552,0.0012523481527864746,0.015028901734104046
0.553,0.0012523481527864746,0.015028901734104046
0.554,0.0012523481527864746,0.015028901734104046
0.555,0.0012523481527864746,0.015028901734104046
0.556,0.0012523481527864746,0.015028901734104046
0.557,0.0012523481527864746,0.015028901734104046
0.558,0.0012523481527864746,0.015028901734104046
0.559,0.0012523481527864746,0.014450867052023121
0.56,0.0012523481527864746,0.014450867052023121
0.561,0.0006261740763932373,0.014450867052023121
0.562,0.0006261740763932373,0.014450867052023121
0.5630000000000001,0.0006261740763932373,0.014450867052023121
0.5640000000000001,0.0006261740763932373,0.014450867052023121
0.5650000000000001,0.0006261740763932373,0.014450867052023121
0.5660000000000001,0.0006261740763932373,0.014450867052023121
0.5670000000000001,0.0006261740763932373,0.014450867052023121
0.5680000000000001,0.0006261740763932373,0.014450867052023121
0.5690000000000001,0.0006261740763932373,0.013872832369942197
0.5700000000000001,0.0006261740763932373,0.013872832369942197
0.5710000000000001,0.0006261740763932373,0.013872832369942197
0.5720000000000001,0.0006261740763932373,0.013872832369942197
0.5730000000000001,0.0006261740763932373,0.013872832369942197
0.5740000000000001,0.0006261740763932373,0.012716763005780347
0.5750000000000001,0.0006261740763932373,0.012138728323699421
0.5760000000000001,0.0006261740763932373,0.012138728323699421
0.577,0.0006261740763932373,0.012138728323699421
0.578,0.0006261740763932373,0.012138728323699421
0.579,0.0006261740763932373,0.012138728323699421
0.58,0.0006261740763932373,0.012138728323699421
0.581,0.0006261740763932373,0.011560693641618497
0.582,0.0006261740763932373,0.011560693641618497
0.583,0.0006261740763932373,0.011560693641618497
0.584,0.0006261740763932373,0.011560693641618497
0.585,0.0006261740763932373,0.010982658959537572
0.586,0.0006261740763932373,0.010982658959537572
0.587,0.0006261740763932373,0.010982658959537572
0.588,0.0,0.010982658959537572
0.589,0.0,0.010982658959537572
0.59,0.0,0.010982658959537572
0.591,0.0,0.010982658959537572
0.592,0.0,0.010982658959537572
0.593,0.0,0.010982658959537572
0.594,0.0,0.010982658959537572
0.595,0.0,0.010982658959537572
0.596,0.0,0.010982658959537572
0.597,0.0,0.010982658959537572
0.598,0.0,0.010982658959537572
0.599,0.0,0.010404624277456647
0.6,0.0,0.009826589595375723
0.601,0.0,0.009826589595375723
0.602,0.0,0.009826589595375723
0.603,0.0,0.009826589595375723
0.604,0.0,0.009826589595375723
0.605,0.0,0.009826589595375723
0.606,0.0,0.009826589595375723
0.607,0.0,0.009826589595375723
0.608,0.0,0.009826589595375723
0.609,0.0,0.009826589595375723
0.61,0.0,0.009826589595375723
0.611,0.0,0.009826589595375723
0.612,0.0,0.009248554913294798
0.613,0.0,0.009248554913294798
0.614,0.0,0.009248554913294798
0.615,0.0,0.009248554913294798
0.616,0.0,0.009248554913294798
